Date;1211 HK Equity > Net Income, Adj;1211 HK Equity > Net Debt;1211 HK Equity > Operating Profit (EBIT);1211 HK Equity > Enterprise Value;1211 HK Equity > Earnings per Share;1211 HK Equity > Last Price;1211 HK Equity > Free Cash Flow
12/31/2015;862081000;6791455567;266923500,7;28724710656;0,018796446;1,834384933;184103752,4
03/31/2016;850708000;7572252154;253451044,9;25379979267;0,017635458;1,912473193;-666290306,7
06/30/2016;1408988000;7954947728;346098938,1;28535324591;0,031285729;1,9954292;-638787034,1
09/30/2016;1404430000;6525037173;328822847,5;28161183456;0,031528212;2,187666546;-757459605,7
12/31/2016;1202873000;7298735897;352412273,8;25504556124;0,016959177;1,75610553;-503850166
03/31/2017;605795000;8143977445;215644256,6;23909803815;0,010388548;1,84863497;-831283991,3
06/30/2017;984953000;8873798976;253359758;28327303819;0,017121574;2,045277927;-646612896,4
09/30/2017;1068521000;9393451576;300622510,8;35264090300;0,019140129;3,091476996;87403785,3
12/31/2017;1164173000;9789866728;283647818;36802679971;0,022614213;2,905674385;208021508,1
03/31/2018;102425000;10916502234;115030027,3;32060328843;0,004633003;2,599222781;-661100259,7
06/30/2018;242031000;11605383956;91392292,77;30945748445;-0,005456309;2,020086156;-865839316,7
09/30/2018;1047954000;6870515622;223013851,7;29779734972;0,018730947;2,393883245;565152522,4
12/31/2018;1149384000;10857342577;415024432,1;27494995463;0,022288438;2,125839483;59570394,92
03/31/2019;749732000;7726036206;291265592,7;29388269955;0,012277101;2,008518155;-659690637,1
06/30/2019;569136000;12799617592;155431115;28061558571;0,009439562;2,01211966;-1360848948
09/30/2019;119723000;10589823242;74973598,77;27975027977;0,002058429;1,664731921;308894813,6
12/31/2019;-65529000;10701286274;225064505,3;28971326837;0,005635411;1,662558414;806671776,1
03/31/2020;112636000;10307065699;121277540,8;30816927581;0,00030343;1,741620868;145815849,4
06/30/2020;1382456000;9454259621;533786704,3;37272464513;0,029230645;2,574027482;1132280193
09/30/2020;1751140000;8313666529;616682973,7;54894801597;0,032372242;5,221505376;1509993192
12/31/2020;765048000;7272815271;371669937,7;87869593226;0,017797385;8,735614395;2139507560
03/31/2021;237356000;4882912349;168134133,4;75090084960;0,004106882;7,07021335;-627065698,6
06/30/2021;874615000;4504067174;218918277,4;1,08E+11;0,013603077;9,966007417;516602233,5
09/30/2021;1331141000;2394186915;199364225,3;1,07E+11;0,020307984;10,40395607;1836811587
12/31/2021;540476000;-1993344354;240033916,8;1,18E+11;0,013756892;11,39681522;2656403598
03/31/2022;808408000;-1694157741;179126270,7;96349673731;0,012920776;9,549708274;-239649603,9
06/30/2022;2786871000;-1247074125;454493135,9;1,34E+11;0,052301965;13,3379209;1296446093
09/30/2022;5716188000;-2625670109;1065830867;91594371012;0,096168998;8,25477707;2876862686
12/31/2022;7304687000;-6778657644;1380262022;93431800923;0,126936197;8,228975736;2338226173
03/31/2023;4130063000;-4115564215;726037881;94445440919;0,069402391;9,75808609;-2613462698
06/30/2023;6824082000;-6663599444;935220116,2;96999179834;0,115173;10,63399902;4834912999
09/30/2023;10412751000;-4635939202;1666768720;87546126655;0,164679147;10,30186157;-2642315478
12/31/2023;8634106000;-9515732236;1323517695;77595330679;0,138609253;9,149958603;7029899620
03/31/2024;4568793000;-6630673971;558824717,6;72690318121;0,070125654;8,586432925;-2207229198
06/30/2024;9044389000;-4239025174;1287423436;90003327342;0,14038094;9,903230075;-2372595158
09/30/2024;11606858000;-5642102850;1661727683;1,17E+11;0,185634311;12,1759724;2763025509
12/31/2024;14985729000;-13781521713;2099898074;1,04E+11;0,248327279;11,44053795;6848134614
03/31/2025;9154985000;-15219313221;769990164,4;1,46E+11;0,133420814;16,82882837;-3927504187
06/30/2025;6156670000;-13279728957;1064897333;1,30E+11;0,089289233;15,60509554;-2771174394
09/30/2025;8021518000;-10677808513;1423176760;1,27E+11;0,119564603;14,16288604;-3645245121
